around_restaurant_No,around_restaurant_average_price,bus_station_No,busline_No,competitor_No,estate_average_price,group,real_estate_No,shopping_mall_No,transportation_subway_No,uid,university_No
73,31.48,5,34,5,55621.111,1,512,0,0,b1444f85decfd03f6d476076,32
29,29.6,7,47,2,62513.259,1,496,0,0,7fe04c6d9c91d3f46018098e,14
25,25.529,6,40,2,62378.769,1,491,0,0,92bbf7d2515c89260bf5ebf6,14
26,53.719,3,17,2,65946.247,3,544,0,0,0523a14102a4bc04b33c81e8,10
33,95.233,1,6,2,65622.952,3,566,0,0,e85e2527dbdfc25295f08c23,12
16,56.125,1,3,4,66536.423,3,493,0,0,c92b72b957f44988ad31e5ac,9
14,43.875,2,7,4,68960.861,3,446,0,0,35debf29f25e295da6da395c,10
15,56.1,4,22,6,71718.848,3,454,0,1,d82d669758644ca6d518b72d,9
7,63.79,6,15,1,63416.409,1,496,0,1,15e1e85ebe4e8cbb58109353,6
44,47.464,5,24,8,74018.172,3,433,0,1,c8b5cdeffa78ad1a130daa11,9
14,62.75,4,22,6,70399.558,3,464,0,0,3da907f37e83ff4ab220a886,9
23,74.838,5,22,3,62541.853,1,578,0,0,e96b4420e550414083288ae6,6
22,68.391,5,22,3,63257.914,1,572,0,0,f60a15ed3c808ff5ba17e7ae,6
20,77.877,7,36,3,62201.736,1,591,0,0,e96b4420e272404083288a84,5
27,55.026,2,7,4,68993.82,3,437,0,0,b0d056f295b3c167cbc3db97,8
22,45.859,8,27,5,57497.248,1,645,0,1,6369173f2ed79b15725e8090,8
13,90.376,6,15,4,60075.327,1,647,0,1,4cf8d24e4dca32fd9df7799b,8
21,57.534,5,13,5,59907.752,1,646,0,1,4642844a9259f3c0c8fa5fa0,8
24,48.141,6,19,5,60391.111,1,667,0,1,7388dffd6f8610f2d3ff2362,8
24,41.368,7,25,5,58040.955,1,613,0,1,d52831f9bfa2f4be2efaa703,8
28,44.217,7,25,5,57676.076,1,621,0,1,9e4c7c2cacced326c91b9586,8
23,41.147,7,33,3,56539.984,1,630,0,0,e0e6b30821844e603be4a671,8
24,41.365,7,15,2,56959.6,1,600,0,2,b3aa435db1ae7112147643b7,8
25,50.071,8,21,5,45660.738,0,591,0,0,3be122e1cda75f4b1ef74d1b,5
21,30.417,4,12,2,55434.905,1,586,0,2,b3d6351e6236c48977026983,8
28,44.795,5,10,5,46779.277,0,582,0,0,1c7d29bd15ba4af19d9d6833,2
29,46.63,10,23,4,46040.794,0,556,0,0,881a28e7bc3ef55ef942b229,7
20,64.071,5,46,5,46966.547,0,595,0,0,637bc1fddce0449738e4a659,2
54,35.943,8,29,4,46986.383,0,615,0,0,6e1081410c989a26fea778e8,2
42,34.695,8,72,6,46601.957,0,615,0,0,4ea3f2f189f654b3afcb66ee,2
20,79.252,6,86,8,46070.865,0,539,0,0,9fbfeef2641e035cece4a586,1
52,33.878,7,39,3,47024.141,0,617,0,0,1e1d9221a33ab6510c0a7029,1
22,147.324,3,34,4,46844.114,0,537,0,0,52c3f0e1185dfb236849f37c,1
47,52.974,5,64,8,47467.444,0,364,0,0,d3572af762dfc15fe9f853ef,0
27,44.812,3,59,4,45587.915,0,443,0,1,fb4c00a768326b8fb6f42fcd,0
24,88.643,2,12,7,45765.173,0,540,0,0,a2c8455d51653ac7f723108e,1
83,48.222,3,56,6,46860.537,0,346,0,0,06b759e90a59f2ef02294fec,0
97,51.833,3,14,11,47351.068,0,280,0,0,6ee0102057416cf653e5c5ae,0
78,49.76,3,56,6,46329.566,0,351,0,0,25ec69fcdfddda64c36c14fa,0
79,55.734,3,14,11,47136.439,0,268,0,0,75d0881a958132543a04b156,0
61,76.376,4,20,9,47048.256,0,220,0,0,23ebc946594ec8d0c72ba13a,0
35,50.907,3,14,8,48051.744,0,223,0,0,0523a141031bbd04b23c8109,0
52,80.477,3,15,9,50404.622,1,207,0,0,e7de7116785476eeb9df8f7a,0
68,69.443,4,20,9,46746.1,0,221,0,0,b4a048a114571c99badf8f19,0
79,57.331,3,14,9,47404.175,0,226,0,0,d7fd2ad345b8fa4d0bccdd7d,0
81,63.415,3,14,9,46615.585,0,234,0,0,a98bc93d80f7b4329b68b4f0,0
14,16.0,1,4,3,50789.04,1,102,0,0,da60fa0102a9c50fe856fac9,1
12,91.667,2,16,3,60226.235,1,80,0,0,e30828482afbe6a6b24c498e,1
14,16.0,0,0,3,50615.435,1,93,0,0,1235457e94084915cd04ef12,1
51,29.214,4,35,6,49556.24,1,347,0,1,627b70f9e10f53e9eedfca10,2
55,28.413,4,35,8,49556.24,1,356,0,1,764672e5eed410b495ec84f5,2
63,30.429,6,46,8,46576.769,0,354,0,1,fad562ac2d7a18e67ab55c45,2
13,35.714,4,26,6,47143.227,0,309,0,1,9323620ae07a76ad71455b94,2
14,60.111,3,13,2,51712.18,1,272,0,0,56f2f69691ee05990ba8d48c,2
22,46.857,5,51,2,51852.538,1,243,0,0,5b69a5d216d8939c86420e7f,1
16,55.818,11,53,3,51310.851,1,355,0,0,951c6c8db21f2402a2d230d4,27
13,32.7,5,23,3,49174.485,1,292,0,0,2da67a37e60bb7a5eaf85308,15
